Date,Total Count,Null Count,Fill Count,Fill Rate,Min Value,Max Value,Mean Value,Pct_1,Pct_5,Pct_10,Pct_25,Pct_50,Pct_75,Pct_90,Pct_95,Pct_99
202104,11933471,11933190,281,2.3547214385487675e-05,-191806.21,22553.52,-22417.86327402137,-92777.284,-64058.14,-48383.85,-29770.82,-18200.3,-8760.62,-2169.54,-85.0,2619.7859999999628
202105,11987336,11987074,262,2.185639911987117e-05,-237505.33,2754.51,-24272.280496183215,-93749.4668,-64724.5615,-53118.422999999995,-32393.260000000002,-18783.775,-9250.685,-2820.8019999999983,-941.390000000001,0.0
202106,12045675,12045439,236,1.9592094257897543e-05,-222319.75,0.0,-27973.879618644063,-170885.2495,-94292.82999999999,-64929.80500000001,-33161.3425,-16853.87,-7090.4775,-2411.255,-714.4275,0.0
202107,12150635,12150400,235,1.9340552983444897e-05,-120485.74,53878.72,-22479.963361702114,-102731.9382,-58555.829999999994,-46779.93,-29760.725,-18553.45,-9239.384999999998,-3773.4540000000006,-573.9630000000072,9249.762399999958
202108,12260721,12260455,266,2.1695298343384538e-05,-130218.31,109214.24,-20747.928984962407,-98084.91249999999,-64772.49,-49250.384999999995,-29791.815,-16227.545,-7405.5824999999995,-1093.4,0.0,41753.18350000061
202109,12383420,12382615,805,6.500627451867093e-05,-157655.78,51827.9,-13112.398248447202,-84930.8008,-49701.34399999999,-31311.521999999997,-16710.34,-7278.93,-3239.18,-1239.6419999999996,-347.8860000000001,1575.2212000000072
202110,12496231,12495971,260,2.0806273507588008e-05,-429704.91,61541.91,-22267.93830769229,-107554.39360000001,-60279.132,-45635.89,-29455.16,-16643.165,-7090.63,-1756.9650000000008,82.099499999972,10893.803300000114
202111,12596354,12596109,245,1.94500726162507e-05,-161008.32,8203.2,-20078.27510204081,-106078.4144,-56060.396,-43082.38,-25879.75,-15606.75,-8689.99,-1717.7540000000017,0.0,5146.048400000001
202112,12679651,12675080,4571,0.0003604988812389237,-305098.37,126645.58,-14910.048448917085,-94509.55399999999,-43800.66,-30103.01,-17476.555,-9902.85,-5294.35,-2637.0,-1610.31,0.0
202201,12745866,12745569,297,2.330167287181585e-05,-300111.04,56404.26,-24323.410303030312,-113006.2,-64971.672,-51926.738,-31743.2,-17972.55,-8830.67,-2284.809999999994,-617.1680000000003,2658.045200000059
202202,12800331,12800088,243,1.8983884088622397e-05,-170252.02,35080.83,-26130.68300411524,-143612.3308,-87730.272,-62981.86199999999,-33248.265,-17364.87,-7498.26,-2443.1239999999966,-157.38000000000892,5807.124199999938
202203,12851573,12851312,261,2.0308797996945588e-05,-169742.47,257128.23,-24042.664444444446,-115315.338,-75537.75,-63572.2,-34789.03,-17077.91,-6847.32,-570.0,-85.0,10955.457999999915
202204,12897816,12897531,285,2.2096764289395972e-05,-264912.74,13757.74,-23479.048736842105,-142169.43120000002,-68349.248,-52194.542,-32695.73,-15122.07,-5873.86,-1533.8860000000009,-90.0,306.93920000004795
202205,12927618,12927360,258,1.995727287115074e-05,-219594.48,28822.03,-27762.414263565875,-147068.0404,-97854.62299999999,-72376.23,-35383.6775,-17277.29,-5266.6825,-1199.6949999999993,-77.62450000000112,11511.45820000005
202206,12948795,12948510,285,2.2009770021071458e-05,-164710.86,58794.94,-23425.120842105258,-128976.7244,-86246.016,-63798.264,-31088.07,-12023.53,-4635.0,-275.95200000000045,0.0,9544.262800000233
202207,12988207,12987966,241,1.8555294044820815e-05,-266479.1,7059.28,-24298.754149377597,-141811.098,-83003.72,-58016.06,-32568.39,-13387.99,-4147.5,-1203.8,-170.0,1928.0579999999816
202208,13018269,13018026,243,1.866607611196235e-05,-213043.93,13408.34,-23689.637942386824,-158112.2342,-75693.757,-57613.416,-30486.815,-11434.35,-4522.385,-803.9619999999992,-85.0,5247.204799999991
202209,13041698,13041460,238,1.8249157433334216e-05,-244520.92,17042.67,-25164.07113445378,-152826.32880000002,-89698.418,-61287.57399999999,-35031.3125,-14505.95,-5301.7075,-236.49999999999892,1.3604999999997938,5575.551099999998
202210,13055282,13055047,235,1.8000377165349625e-05,-294736.36,9447.59,-25185.278468085093,-187799.4454,-78864.67599999999,-58386.162,-31219.89,-13717.44,-5210.075,-1742.342,-24.500000000000597,5792.736999999991
202211,13067889,13067644,245,1.8748246178093492e-05,-171434.68,1019399.91,-16791.515551020413,-115241.4284,-82242.446,-59124.18799999999,-26653.22,-11552.41,-4910.86,-1201.000000000001,-93.23200000000026,53061.725200000044
202212,13077997,13077774,223,1.705154084375459e-05,-135043.1,57023.05,-22963.837937219734,-112348.73659999999,-76926.862,-61082.256,-32471.309999999998,-11365.71,-5804.51,-2562.8059999999987,-834.8350000000049,1439.708400000002
202301,13089036,13088695,341,2.6052338766582963e-05,-189285.97,42728.63,-24250.7815249267,-129902.282,-77134.94,-61493.73,-32899.99,-13601.19,-5307.25,-2099.94,-170.0,3095.4280000000904
202302,13089915,13089630,285,2.1772486681540714e-05,-227606.48,9890.56,-24014.287157894752,-142654.61159999997,-82328.068,-60832.543999999994,-31620.94,-12999.1,-5495.22,-2583.936,-757.7439999999964,2260.8572000001377
202303,13093785,13093384,401,3.062521646720181e-05,-255058.2,3972.91,-29278.90957605986,-125590.47,-92908.77,-73395.44,-41724.65,-16748.1,-6690.0,-2786.21,-255.0,0.0
202304,13102532,13102175,357,2.724664209940491e-05,-185189.44,16269.31,-25677.49033613445,-128387.31480000001,-87274.194,-64530.966,-37260.85,-14648.7,-6008.16,-2218.599999999994,-180.00000000000057,584.1615999999971
202305,13117873,13117511,362,2.75959372376909e-05,-157286.47,42906.2,-24338.057651933694,-140347.194,-94833.7215,-65397.669999999984,-32611.35,-13258.825,-5692.9725,-1201.451,-85.0,14951.890499999648
202306,13139916,13139492,424,3.226809060271009e-05,-443336.88,73440.67,-24525.8492216981,-130413.91319999998,-80868.49949999999,-61350.48799999999,-30688.955,-14288.23,-5622.055,-2117.8620000000014,-100.0,2017.0165999999606
202307,13160420,13160058,362,2.750672091012293e-05,-274077.86,1462.2,-28081.228342541443,-174133.8848,-91665.5995,-67978.731,-37684.4775,-15199.885,-5891.21,-1990.6159999999995,-278.2665000000019,0.0
202308,13180733,13180337,396,3.0043852644613924e-05,-501150.31,131886.64,-28715.591212121213,-143271.3055,-100363.9225,-71740.445,-36509.2425,-16323.650000000001,-6767.135,-1915.0,-158.75,0.0
202309,13197676,13197310,366,2.773215526733646e-05,-283769.19,113934.03,-26478.291420765017,-127583.612,-86904.0875,-66933.655,-37865.14,-15293.650000000001,-5190.465,-742.94,-100.0,17364.354000001127
202310,13216177,13216172,5,3.783242309784441e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202311,13157766,13157764,2,1.520014871825506e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202312,13102942,13102941,1,7.631873818872128e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
